epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,198.507,1.57395,1.65792,1.61415,0.63249,0.59009,0.63587,0.37761,1.48044,1.37321,1.54763,0.00125747,0.00125747,0.00125747
99,200.461,1.57959,1.60022,1.5737,0.60474,0.55851,0.57638,0.32821,1.50608,1.44143,1.60855,0.0012557,0.0012557,0.0012557
100,202.403,1.57201,1.61988,1.58988,0.56671,0.59425,0.56584,0.34044,1.50052,1.53118,1.56867,0.00125393,0.00125393,0.00125393
101,204.356,1.54613,1.58612,1.56171,0.62671,0.57528,0.60718,0.36571,1.44636,1.4038,1.54435,0.00125216,0.00125216,0.00125216
102,206.287,1.55944,1.57188,1.57674,0.55504,0.61995,0.59443,0.35038,1.45022,1.41937,1.54594,0.00125039,0.00125039,0.00125039
103,208.218,1.54349,1.59249,1.56277,0.62953,0.57139,0.60292,0.35875,1.45601,1.39726,1.57239,0.00124862,0.00124862,0.00124862
104,210.128,1.55195,1.55095,1.57909,0.55423,0.59063,0.55066,0.32454,1.46708,1.45122,1.55265,0.00124686,0.00124686,0.00124686
105,212.198,1.55829,1.59487,1.58268,0.63133,0.57238,0.59517,0.3517,1.4864,1.4238,1.5898,0.00124509,0.00124509,0.00124509
106,214.111,1.56264,1.58613,1.58797,0.63777,0.59116,0.64131,0.38675,1.43758,1.33848,1.52122,0.00124332,0.00124332,0.00124332
107,216.041,1.54188,1.52251,1.58837,0.58382,0.66447,0.64801,0.38897,1.43296,1.32975,1.54838,0.00124155,0.00124155,0.00124155
108,217.968,1.56005,1.56667,1.57133,0.6222,0.5964,0.63966,0.37559,1.46721,1.37204,1.55424,0.00123978,0.00123978,0.00123978
109,219.886,1.52462,1.53147,1.5617,0.55214,0.63395,0.6038,0.35433,1.45617,1.38596,1.55347,0.00123801,0.00123801,0.00123801
110,221.886,1.51134,1.50884,1.55341,0.61289,0.57874,0.62316,0.37941,1.42738,1.35655,1.49663,0.00123625,0.00123625,0.00123625
111,223.81,1.52061,1.53398,1.54682,0.57217,0.58498,0.59769,0.34501,1.48658,1.3839,1.56871,0.00123448,0.00123448,0.00123448
